# packages in environment at /soft/applications/conda/2026-09-17/mconda3:
#
# Name                                      Version                           Build                  Channel
onnx                                        1.22.0                            pypi_0                 pypi
onnx-ir                                     1.0.0                             pypi_0                 pypi
onnx-tf                                     1.6.0                             pypi_0                 pypi
onnxruntime-gpu                             1.30.0                            pypi_0                 pypi
onnxscript                                  0.7.2                             pypi_0                 pypi
openai                                      3.14.1                            pypi_0                 pypi
openai-harmony                              0.0.8                             pypi_0                 pypi
opencensus                                  0.11.4                            pypi_0                 pypi
opencensus-context                          0.1.3                             pypi_0                 pypi
opencv-python-headless                      5.0.0.93                          pypi_0                 pypi
openssl                                     3.6.4                             h781a0a9_0             conda-forge
opentelemetry-api                           1.44.0                            pypi_0                 pypi
opentelemetry-exporter-otlp                 1.44.0                            pypi_0                 pypi
opentelemetry-exporter-otlp-proto-common    1.44.0                            pypi_0                 pypi
opentelemetry-exporter-otlp-proto-grpc      1.44.0                            pypi_0                 pypi
opentelemetry-exporter-otlp-proto-http      1.44.0                            pypi_0                 pypi
opentelemetry-exporter-prometheus           0.65b0                            pypi_0                 pypi
opentelemetry-proto                         1.44.0                            pypi_0                 pypi
opentelemetry-sdk                           1.44.0                            pypi_0                 pypi
opentelemetry-semantic-conventions          0.65b0                            pypi_0                 pypi
opentelemetry-semantic-conventions-ai       0.5.1                             pypi_0                 pypi
opt-einsum                                  3.4.0                             pypi_0                 pypi
optax                                       0.2.8                             pypi_0                 pypi
optree                                      0.20.0                            pypi_0                 pypi
orbax-checkpoint                            0.12.4                            pypi_0                 pypi
outlines-core                               0.2.14                            pypi_0                 pypi
packaging                                   25.0                              pypi_0                 pypi
pandas                                      3.0.5                             pypi_0                 pypi
pandocfilters                               1.5.1                             pypi_0                 pypi
pango                                       1.58.2                            h7bb47b9_1             conda-forge
parse                                       1.22.1                            pypi_0                 pypi
parsl                                       2026.2.23                         pypi_0                 pypi
parso                                       0.8.7                             pypi_0                 pypi
partd                                       1.4.2                             pypi_0                 pypi
partial-json-parser                         0.2.1.1.post7                     pypi_0                 pypi
patch                                       2.8                               h280c20c_1003          conda-forge
patchelf                                    0.19.1                            hee9eb32_1             conda-forge
pathspec                                    1.1.1                             pypi_0                 pypi
pcre2                                       10.47                             h8b3dc9c_1             conda-forge
peft                                        0.21.0                            pypi_0                 pypi
pexpect                                     4.9.0                             pypi_0                 pypi
pika                                        1.4.4                             pypi_0                 pypi
pillow                                      12.3.0                            pypi_0                 pypi
pip                                         26.2.1                            pyh145f28c_0           conda-forge
pixman                                      0.46.4                            h54a6638_3             conda-forge
